kunde_id_1,kunde_id_2,relasjon
K114161,K109986,husstand
K104835,K106011,husstand
K111171,K137967,husstand
K103631,K119734,husstand
K112554,K129198,medlaantaker
K104781,K113484,medlaantaker
K106934,K101546,husstand
K138833,K114716,husstand
K106208,K129829,medlaantaker
K120366,K124863,husstand
K119082,K101137,husstand
K111241,K104167,husstand
K101348,K113330,husstand
K100954,K107673,husstand
K124199,K134785,husstand
K102620,K109081,husstand
K133464,K103076,husstand
K108586,K114674,husstand
K124241,K113951,husstand
K134615,K128862,husstand
K137392,K120647,husstand
K114644,K120488,husstand
K131374,K100495,husstand
K115623,K128981,husstand
K107639,K108199,husstand
K131235,K110080,husstand
K114320,K106223,medlaantaker
K136695,K118357,husstand
K121802,K122485,medlaantaker
K102028,K101463,husstand
K133064,K102830,husstand
K133969,K101118,husstand
K108825,K112871,husstand
K115650,K114827,husstand
K130909,K128831,husstand
K118071,K111459,husstand
K102158,K111113,husstand
K132053,K135582,husstand
K131974,K130342,husstand
K139458,K103960,husstand
K108068,K122708,husstand
K129888,K132728,husstand
K121952,K107865,medlaantaker
K119253,K139228,husstand
K114046,K109595,husstand
K117620,K120268,medlaantaker
K132032,K110038,husstand
K130984,K107540,husstand
K137840,K111478,husstand
K109454,K134763,husstand
K111466,K139519,husstand
K123650,K105138,husstand
K109692,K131423,husstand
K129387,K137026,medlaantaker
K125185,K139140,husstand
K107496,K104073,husstand
K120578,K112550,husstand
K134322,K100665,husstand
K137226,K119390,medlaantaker
K112377,K124011,medlaantaker
K119660,K123639,husstand
K134250,K110097,husstand
K115631,K123497,husstand
K139716,K121513,husstand
K112354,K121016,husstand
K118164,K102592,medlaantaker
K104802,K100652,medlaantaker
K119896,K112784,medlaantaker
K139039,K116959,husstand
K123386,K126381,husstand
K115433,K121397,medlaantaker
K109016,K120482,husstand
K135630,K133053,medlaantaker
K135446,K133020,husstand
K137376,K121661,husstand
K112997,K104231,husstand
K123585,K136220,husstand
K114422,K114909,husstand
K118006,K124791,husstand
K108772,K134892,husstand
K121988,K135047,husstand
K127105,K111642,husstand
K113522,K117215,husstand
K112940,K113334,medlaantaker
K115387,K101127,husstand
K120094,K129466,husstand
K110427,K136046,medlaantaker
K109304,K134745,husstand
K103923,K129056,husstand
K115461,K120553,husstand
K113689,K100927,husstand
K103933,K132793,medlaantaker
K125533,K123918,husstand
K110852,K116433,husstand
K139282,K114371,medlaantaker
K106100,K110270,husstand
K132804,K134683,husstand
K138732,K118594,husstand
K122253,K109112,husstand
K132263,K100502,husstand
K132937,K107830,medlaantaker
K110515,K126655,husstand
K137799,K103618,husstand
K133001,K108501,husstand
K111951,K100034,husstand
K119342,K107538,husstand
K106473,K113525,husstand
K111702,K110598,husstand
K103894,K124382,medlaantaker
K132519,K113604,husstand
K131729,K133245,husstand
K117851,K121083,medlaantaker
K126335,K101581,husstand
K121150,K133823,husstand
K112222,K109015,husstand
K100769,K130240,husstand
K126488,K133905,husstand
K103061,K123989,husstand
K131232,K103758,husstand
K129287,K131945,husstand
K115255,K103634,husstand
K124339,K116120,husstand
K102369,K107265,husstand
K112780,K117523,medlaantaker
K136397,K130109,husstand
K126638,K111051,husstand
K101590,K121490,husstand
K110523,K134828,husstand
K134674,K138542,husstand
K129448,K126642,husstand
K108859,K126763,medlaantaker
K131110,K127539,husstand
K125963,K125694,husstand
K103360,K115131,medlaantaker
K122437,K120523,husstand
K132914,K119604,husstand
K117220,K124298,husstand
K112043,K119156,medlaantaker
K130758,K114780,husstand
K125480,K133695,husstand
K127962,K113594,husstand
K120376,K107846,husstand
K130746,K125111,husstand
K117271,K130607,husstand
K106572,K117276,husstand
K122652,K113574,medlaantaker
K134265,K102261,husstand
K105338,K134381,husstand
K105955,K117230,husstand
K135257,K118348,medlaantaker
K131564,K130018,husstand
K105853,K128296,husstand
K133749,K132496,husstand
K106876,K112143,husstand
K125560,K112198,husstand
K126448,K133088,husstand
K122964,K104422,husstand
K133356,K114504,husstand
K100159,K135054,husstand
K129431,K113962,husstand
K131193,K123916,husstand
K101731,K120773,husstand
K119715,K114926,husstand
K115626,K113206,husstand
K111551,K122533,husstand
K121097,K103125,medlaantaker
K106252,K109676,husstand
K124823,K122116,husstand
K111823,K127619,husstand
K113624,K105155,husstand
K107104,K115610,medlaantaker
K118838,K139546,husstand
K122326,K108108,husstand
K123991,K120579,husstand
K122656,K139440,husstand
K112745,K126458,husstand
K137250,K129094,husstand
K117221,K132221,husstand
K124070,K110714,husstand
K122579,K108668,husstand
K110752,K114273,husstand
K106134,K138627,husstand
K129726,K113515,husstand
K112703,K105310,husstand
K109080,K117735,husstand
K106683,K103298,husstand
K135576,K123234,medlaantaker
K139278,K106813,husstand
K129446,K112768,husstand
K107375,K124402,medlaantaker
K136242,K110681,husstand
K115774,K130859,husstand
K113850,K102907,husstand
K124537,K127215,husstand
K111104,K109391,medlaantaker
K113838,K113958,husstand
K136845,K137293,husstand
K101014,K136933,husstand
K128753,K122428,husstand
K121125,K103220,husstand
K112225,K109614,husstand
K136363,K119389,husstand
K105498,K131107,husstand
K139623,K137498,husstand
K134561,K126713,husstand
K124607,K109753,husstand
K113773,K114643,husstand
K139417,K136027,husstand
K112402,K107831,husstand
K108046,K131477,husstand
K110536,K133389,medlaantaker
K135885,K102348,husstand
K121555,K108205,husstand
K134156,K134521,husstand
K110096,K112732,husstand
K118060,K125131,husstand
K124664,K135740,husstand
K109902,K130872,husstand
K130886,K136417,husstand
K109173,K137492,husstand
K134373,K105883,husstand
K125831,K105304,husstand
K131546,K111457,husstand
K119952,K101492,husstand
K131392,K130519,husstand
K123036,K120509,husstand
K120194,K135482,husstand
K103077,K109099,husstand
K110778,K123140,husstand
K124817,K112826,medlaantaker
K100346,K130457,medlaantaker
K107789,K134143,husstand
K125325,K139758,husstand
K105463,K106581,husstand
K123601,K134380,husstand
K120420,K123166,husstand
K134583,K104348,husstand
K122836,K129033,husstand
K125458,K105326,husstand
K128364,K131932,husstand
K135011,K124588,medlaantaker
K127009,K119969,husstand
K110480,K135901,medlaantaker
K109054,K101377,husstand
K136223,K112387,husstand
K134752,K125420,husstand
K109792,K132037,husstand
K134208,K118187,husstand
K137938,K113736,husstand
K118898,K111862,husstand
K137025,K110739,husstand
K119424,K128505,husstand
K137313,K118041,husstand
K130965,K118915,husstand
K133031,K107660,husstand
K122877,K134699,husstand
K129341,K116428,husstand
K130735,K133701,husstand
K107458,K104911,husstand
K132117,K119116,husstand
K123501,K104935,husstand
K106650,K102470,husstand
K133924,K115156,medlaantaker
K132540,K118243,husstand
K117929,K122469,husstand
K137669,K102747,husstand
K128460,K137198,husstand
K132029,K114348,husstand
K120584,K106707,husstand
K126200,K112934,husstand
K116278,K110713,husstand
K101989,K131205,husstand
K107728,K112124,husstand
K113425,K134287,husstand
K110114,K107294,medlaantaker
K103112,K137844,husstand
K118324,K137189,medlaantaker
K101193,K122926,husstand
K126794,K107343,husstand
K112605,K104189,husstand
K122295,K120821,husstand
K108627,K139901,husstand
K110584,K112067,medlaantaker
K100711,K138889,husstand
K129973,K124644,husstand
K128980,K115941,medlaantaker
K109433,K116604,husstand
K120781,K124973,husstand
K101866,K138335,husstand
K122146,K126001,husstand
K127790,K105649,husstand
K135001,K126430,husstand
K109542,K115298,husstand
K122987,K132580,husstand
K125355,K133939,husstand
K130119,K114093,husstand
K100552,K115164,husstand
K139694,K103170,husstand
K108604,K131837,medlaantaker
K136755,K115570,husstand
K116520,K107085,husstand
K117707,K101285,husstand
K139530,K133668,husstand
K122272,K136612,husstand
K138581,K106482,medlaantaker
K136637,K107539,husstand
K115206,K100274,husstand
K123450,K115551,husstand
K124758,K103635,husstand
K105055,K135587,husstand
K118055,K118668,husstand
K120695,K128130,husstand
K139147,K105481,husstand
K106792,K112902,medlaantaker
K100448,K127557,husstand
K112717,K101174,husstand
K113930,K137452,husstand
K123025,K133530,husstand
K111633,K121534,husstand
K134837,K136512,husstand
K103811,K105796,husstand
K110433,K133108,husstand
K107063,K124287,husstand
K138530,K105621,husstand
K129771,K104324,medlaantaker
K111300,K109541,husstand
K136478,K111472,husstand
K102823,K125834,husstand
K104684,K134765,husstand
K113966,K109115,husstand
K106225,K139352,medlaantaker
K106478,K125703,husstand
K118001,K100816,husstand
K104531,K104245,husstand
K139808,K126920,husstand
K130127,K103856,medlaantaker
K119478,K118242,husstand
K119395,K113072,husstand
K122012,K133724,medlaantaker
K110588,K131115,husstand
K113807,K120479,husstand
K102377,K137918,husstand
K122903,K112139,husstand
K124757,K128627,husstand
K135615,K110071,husstand
K139466,K112483,husstand
K102289,K115717,husstand
K113134,K123994,husstand
K117096,K109031,husstand
K104359,K120812,medlaantaker
K132279,K109427,medlaantaker
K103382,K107397,husstand
K139019,K124983,husstand
K114136,K114277,husstand
K135920,K139105,medlaantaker
K135411,K118595,husstand
K113239,K138462,medlaantaker
K111102,K135745,husstand
K115628,K101482,husstand
K108821,K129354,husstand
K110859,K131004,husstand
K139949,K128845,husstand
K133123,K120471,husstand
K134098,K135577,medlaantaker
K132281,K116682,husstand
K121149,K128266,husstand
K137549,K130324,husstand
K131268,K116171,husstand
K133204,K112305,husstand
K128580,K101828,husstand
K127670,K136383,husstand
K119264,K118418,husstand
K130282,K108951,husstand
K120446,K102680,husstand
K128046,K125513,husstand
K115807,K128838,medlaantaker
K134664,K107722,husstand
K110183,K118249,medlaantaker
K136565,K110684,husstand
K104247,K103159,husstand
K101179,K112399,husstand
K112413,K106578,husstand
K101342,K118096,husstand
K103485,K130153,husstand
K118546,K136731,husstand
K109843,K127133,husstand
K128864,K117972,husstand
K119527,K125623,husstand
K137050,K114896,husstand
K124732,K116726,husstand
K114876,K109301,medlaantaker
K110769,K110177,husstand
K105257,K125351,husstand
K120916,K111730,husstand
K109978,K110988,husstand
K100745,K112543,husstand
K123617,K106592,husstand
K122014,K119413,husstand
K135945,K111078,husstand
K138552,K137153,husstand
K125384,K109739,husstand
K121005,K100214,medlaantaker
K104340,K131710,husstand
K116681,K133736,medlaantaker
K118143,K119923,husstand
K138752,K138750,medlaantaker
K108995,K117850,husstand
K107676,K120836,husstand
K118680,K120752,medlaantaker
K119225,K136069,husstand
K110204,K133828,husstand
K134729,K102642,husstand
K126474,K137307,medlaantaker
K124760,K114458,husstand
K101815,K107546,husstand
K103686,K126695,husstand
K118069,K114656,husstand
K105690,K121835,husstand
K118664,K124343,husstand
K120541,K128737,medlaantaker
K134403,K121048,husstand
K110613,K127899,medlaantaker
K131707,K120921,husstand
K120989,K100047,husstand
K125661,K138868,husstand
K132497,K127756,husstand
K116008,K117094,husstand
K130085,K119318,medlaantaker
K112571,K129420,medlaantaker
K112912,K110943,husstand
K102893,K105779,medlaantaker
K110679,K128125,husstand
K135590,K120694,husstand
K118203,K138444,husstand
K105104,K115778,husstand
K129043,K105806,husstand
K102655,K135512,husstand
K134922,K102802,husstand
K137448,K100881,husstand
K127359,K139750,husstand
K133002,K128816,husstand
K117277,K116137,husstand
K125098,K134524,husstand
K110726,K106433,husstand
K134992,K107736,husstand
K118126,K129504,husstand
K128566,K111383,medlaantaker
K135614,K109948,medlaantaker
K101830,K102056,husstand
K108941,K124576,husstand
K136673,K139471,husstand
K120704,K138569,husstand
K119194,K107862,husstand
K121599,K104170,medlaantaker
K109881,K137797,husstand
K118556,K131352,husstand
K129618,K124364,husstand
K129901,K110625,medlaantaker
K118475,K128554,husstand
K119654,K124200,medlaantaker
K134059,K102570,medlaantaker
K110266,K118529,husstand
K114213,K113783,husstand
K127089,K116592,husstand
K123758,K138873,husstand
K110076,K106764,husstand
K109043,K108025,husstand
K118489,K114999,medlaantaker
K105842,K109816,husstand
K121607,K108125,husstand
K125905,K114951,husstand
K125622,K115838,husstand
K111169,K100241,husstand
K119091,K101932,husstand
K139444,K104742,medlaantaker
K126847,K123777,medlaantaker
K121528,K133848,medlaantaker
K102177,K115132,husstand
K107268,K109724,husstand
K132909,K139887,husstand
K116795,K133645,husstand
K129268,K117455,husstand
K108128,K131242,husstand
K122194,K109215,medlaantaker
K132910,K110848,husstand
K137013,K123304,husstand
K124996,K126011,medlaantaker
K113800,K109211,husstand
K125561,K130022,husstand
K136515,K132866,husstand
K122602,K136372,husstand
K124813,K119642,husstand
K101605,K131459,husstand
K110021,K124736,husstand
K128679,K127221,husstand
K136393,K119007,husstand
K113099,K139603,husstand
K110102,K124854,medlaantaker
K136056,K127033,husstand
K100253,K122586,husstand
K120863,K134967,medlaantaker
K100841,K132766,husstand
K136118,K108332,husstand
K120263,K120266,husstand
K118258,K101020,husstand
K124626,K128188,husstand
K128051,K139587,husstand
K127518,K124255,husstand
K124739,K103378,husstand
K120608,K132574,husstand
K106399,K124414,medlaantaker
K135939,K135801,husstand
K131734,K132209,husstand
K118081,K127903,medlaantaker
K115499,K124601,husstand
K111196,K108692,husstand
K122549,K128926,medlaantaker
K115711,K124019,husstand
K104450,K105651,husstand
K129243,K110754,husstand
K133467,K123828,husstand
K135734,K103206,husstand
K121462,K106196,husstand
K127613,K109967,medlaantaker
K118901,K105251,husstand
K116700,K122772,husstand
K119828,K106541,husstand
K111208,K135909,medlaantaker
K133621,K106385,husstand
K109243,K118020,husstand
K101051,K114723,husstand
K131404,K138286,medlaantaker
K129692,K119603,medlaantaker
K101986,K111710,husstand
K105032,K135835,husstand
K112969,K102009,husstand
K107666,K104499,medlaantaker
K138303,K126451,medlaantaker
K132119,K134914,husstand
K128610,K101774,husstand
K125225,K124217,medlaantaker
K124641,K108410,husstand
K130529,K138012,medlaantaker
K127201,K121705,medlaantaker
K125647,K107721,husstand
K116788,K109361,husstand
K102477,K126752,medlaantaker
K125788,K105091,husstand
K114945,K132738,medlaantaker
K106507,K130316,medlaantaker
K110333,K132142,medlaantaker
K111956,K129079,husstand
K134048,K134885,husstand
K122548,K135155,husstand
K129910,K104957,husstand
K128302,K133169,medlaantaker
K138532,K130461,medlaantaker
K120866,K121589,husstand
K126502,K104428,medlaantaker
K108077,K130675,husstand
K113508,K125849,medlaantaker
K130011,K122153,husstand
K129987,K120304,husstand
K124794,K109997,husstand
K100272,K121865,husstand
K125520,K119900,husstand
K116789,K122203,husstand
K122367,K138278,medlaantaker
K111477,K102455,medlaantaker
K100427,K129940,husstand
K119559,K137942,medlaantaker
K131197,K130751,medlaantaker
K134709,K112941,husstand
K110650,K116232,husstand
K114714,K104057,husstand
K128588,K138707,husstand
K102915,K132698,husstand
K118983,K117343,husstand
K128288,K128080,husstand
K108985,K106255,husstand
K136487,K114306,husstand
K133907,K130289,medlaantaker
K101022,K133346,husstand
K122412,K121841,husstand
K104962,K131753,husstand
K129234,K139310,husstand
K114639,K134953,husstand
K109366,K129121,husstand
K100360,K132635,husstand
K131397,K112637,husstand
K127076,K120309,husstand
K130399,K103492,husstand
K108095,K123625,husstand
K101446,K102216,husstand
K125566,K126475,husstand
K117661,K117121,husstand
K116435,K102033,husstand
K120599,K125339,husstand
K115322,K136875,husstand
K123684,K117700,husstand
K102339,K116780,husstand
K103338,K101900,husstand
K104282,K119899,husstand
K101511,K119355,husstand
K134774,K129368,husstand
K133657,K129016,husstand
K134764,K134235,husstand
K126157,K133317,husstand
K138817,K108142,husstand
K128249,K113606,husstand
K105812,K111325,husstand
K114986,K105746,husstand
K132870,K122818,husstand
K108975,K121832,husstand
K137866,K129529,medlaantaker
K112613,K130539,husstand
K107698,K118979,husstand
K104907,K131849,husstand
K132007,K120727,husstand
K113697,K117474,medlaantaker
K110710,K125502,husstand
K100129,K100479,medlaantaker
K126767,K118574,husstand
K112783,K122073,husstand
K133574,K105770,husstand
K131633,K139208,husstand
K115369,K111497,husstand
K112273,K134942,husstand
K138565,K131315,husstand
K103197,K102670,husstand
K118123,K126579,medlaantaker
K139554,K127605,medlaantaker
K114414,K133994,husstand
K124380,K137689,husstand
K117592,K112534,medlaantaker
K134215,K139762,husstand
K120214,K113769,medlaantaker
K127919,K110313,medlaantaker
K106987,K136286,husstand
K122694,K113377,husstand
K110816,K123061,husstand
K110564,K132627,husstand
K109453,K137103,husstand
K108038,K112548,husstand
K129976,K139374,husstand
K103892,K139407,husstand
K134167,K123997,husstand
K120938,K109202,husstand
K126573,K110115,husstand
K132330,K104123,husstand
K109388,K123418,husstand
K121295,K139773,husstand
K119531,K105174,husstand
K115518,K101453,husstand
K136293,K127950,husstand
K104517,K131357,husstand
K103748,K107050,husstand
K138112,K122454,husstand
K132667,K119790,husstand
K136577,K107148,husstand
K119897,K102336,husstand
K135690,K111931,husstand
K139657,K120669,husstand
K124039,K134864,husstand
K129981,K123279,husstand
K133275,K120547,medlaantaker
K102920,K116964,husstand
K119733,K120127,husstand
K105974,K121851,husstand
K102711,K132052,husstand
K135484,K103004,medlaantaker
K129869,K132858,husstand
K120874,K118241,husstand
K138441,K123879,husstand
K100364,K133854,medlaantaker
K113657,K103588,medlaantaker
K112518,K116508,husstand
K123774,K132945,husstand
K107256,K133277,husstand
K103794,K105302,husstand
K137257,K119165,husstand
K103256,K126400,husstand
K119665,K101470,husstand
K117666,K125199,husstand
K121166,K101507,husstand
K106232,K120371,husstand
K137970,K126044,husstand
K131882,K120736,medlaantaker
K108794,K138538,husstand
K117777,K109791,husstand
K133781,K121981,medlaantaker
K118322,K107340,husstand
K113084,K105060,husstand
K119142,K123613,husstand
K113716,K131457,husstand
K100470,K104289,husstand
K138006,K100786,husstand
K103651,K129530,husstand
K101310,K115193,husstand
K127868,K105745,husstand
K128727,K110837,husstand
K127149,K137730,husstand
K100017,K109652,husstand
K131247,K136156,medlaantaker
K124337,K121201,husstand
K118211,K138256,husstand
K113540,K136662,husstand
K119243,K107091,husstand
K117739,K133769,husstand
K116017,K111895,husstand
K110576,K118328,husstand
K125041,K127035,husstand
K104765,K117381,husstand
K130701,K129369,husstand
K131648,K115592,husstand
K116721,K128002,husstand
K112921,K105016,husstand
K117295,K109985,medlaantaker
K104456,K133840,medlaantaker
K128027,K120450,husstand
K111263,K131874,husstand
K132779,K101636,medlaantaker
K102142,K110365,medlaantaker
K115537,K123098,husstand
K120083,K120507,medlaantaker
K131552,K103337,husstand
K120772,K106964,husstand
K128547,K101929,husstand
K123580,K113933,husstand
K136460,K135123,husstand
K133301,K111344,husstand
K102765,K113547,husstand
K112886,K125961,medlaantaker
K105383,K121686,husstand
K111305,K125281,husstand
K101619,K122360,husstand
K131484,K119623,husstand
K133715,K119810,husstand
K125613,K112809,husstand
K120118,K101407,medlaantaker
K129035,K116307,medlaantaker
K119321,K109372,husstand
K127325,K107069,medlaantaker
K107144,K118661,husstand
K112463,K120531,husstand
K105701,K114127,medlaantaker
K121787,K116603,husstand
K113886,K120703,husstand
K133728,K134707,husstand
K118315,K137666,husstand
K125847,K117034,husstand
K134920,K106361,husstand
K118305,K115722,husstand
K136725,K139073,husstand
K129131,K127213,husstand
K114527,K134262,husstand
K115495,K100999,husstand
K138325,K121687,husstand
K111298,K133102,husstand
K113990,K117822,husstand
K112878,K127583,husstand
K117166,K131030,husstand
K127012,K123891,husstand
K130666,K118033,husstand
K136643,K105575,husstand
K135953,K108731,husstand
K112903,K115940,medlaantaker
K126706,K103177,husstand
K110161,K130403,husstand
K106636,K127577,husstand
K100534,K106343,husstand
K123365,K112612,husstand
K113884,K126362,husstand
K124898,K131577,husstand
K133655,K107513,husstand
K118703,K122381,husstand
K136660,K133453,husstand
K107785,K103684,husstand
K110998,K124753,medlaantaker
K136241,K100870,husstand
K119207,K128234,medlaantaker
K134154,K122426,husstand
K107754,K139529,husstand
K114382,K134911,husstand
K124250,K122767,husstand
K134001,K130023,husstand
K109414,K125499,husstand
K116723,K112036,husstand
K126587,K134132,husstand
K101388,K114759,husstand
K119777,K117897,husstand
K137187,K101717,husstand
K103576,K116515,medlaantaker
K104821,K109157,husstand
K121931,K136976,husstand
K129855,K103395,husstand
K137910,K104741,husstand
K102443,K132511,husstand
K124083,K118987,husstand
K105436,K108555,husstand
K110746,K135489,husstand
K121941,K114292,husstand
K115527,K122369,husstand
K118558,K114282,husstand
K110981,K136619,husstand
K112436,K101486,husstand
K132517,K139514,husstand
K130585,K106270,husstand
K139046,K128833,husstand
K122386,K119329,medlaantaker
K111652,K114538,husstand
K122946,K105265,husstand
K120980,K119992,husstand
K119202,K108895,husstand
K127850,K104305,husstand
K110408,K138305,medlaantaker
K117580,K106724,husstand
K117156,K131447,husstand
K121817,K122470,husstand
K137776,K124542,medlaantaker
K124457,K100343,husstand
K135852,K113611,husstand
K104198,K134225,husstand
K131897,K103448,medlaantaker
K133677,K132886,husstand
K115547,K119309,husstand
K122495,K137344,husstand
K108702,K117311,husstand
K114660,K120970,medlaantaker
K126602,K133483,husstand
K131593,K133937,medlaantaker
K109803,K100106,husstand
K120496,K105049,husstand
K115400,K131065,husstand
K100921,K138438,husstand
K139937,K129046,husstand
K119720,K130793,husstand
K112014,K127432,husstand
K120464,K138148,medlaantaker
K106000,K100559,husstand
K124634,K122685,husstand
K100281,K123336,husstand
K125197,K119098,husstand
K116659,K129134,husstand
K128989,K110053,husstand
K127644,K119030,husstand
K137101,K118685,husstand
K125023,K117494,husstand
K121506,K102188,husstand
K131826,K124710,husstand
K118888,K119627,husstand
K111315,K118370,medlaantaker
K105590,K112009,husstand
K131742,K104233,husstand
K125601,K114065,husstand
K109892,K127555,medlaantaker
K125027,K112935,husstand
K107196,K119554,medlaantaker
K107204,K129794,husstand
K121881,K130406,husstand
K128426,K116823,husstand
K102303,K122618,husstand
K104394,K109098,medlaantaker
K102251,K128205,husstand
K132139,K103415,husstand
K131535,K105046,husstand
K124949,K116810,husstand
K138835,K135316,husstand
K134144,K120412,husstand
K129010,K105753,husstand
K113545,K128719,husstand
K113915,K116207,husstand
K125178,K100392,husstand
K108368,K120036,husstand
K113625,K134517,medlaantaker
K133582,K101612,husstand
K110276,K130691,husstand
K100561,K103387,husstand
K125719,K103200,husstand
K134012,K128579,husstand
K124709,K124499,medlaantaker
K135055,K118077,husstand
K131738,K138959,husstand
K128797,K125136,husstand
K101133,K112767,husstand
K127702,K137665,husstand
K102449,K106991,husstand
K134565,K115208,husstand
K112672,K113693,husstand
K105281,K137668,husstand
K121896,K135719,husstand
K100291,K108902,husstand
K125617,K105625,husstand
K100155,K128909,husstand
K119382,K123391,medlaantaker
K122123,K116502,medlaantaker
K131992,K127302,husstand
K119625,K130217,medlaantaker
K117112,K116958,husstand
K109945,K108834,husstand
K100049,K126142,husstand
K138978,K111079,husstand
K105499,K113586,husstand
K120850,K132247,husstand
K102542,K112192,husstand
K112987,K139613,husstand
K125737,K125215,husstand
K128969,K127192,medlaantaker
K113224,K113957,husstand
K103850,K107953,husstand
K112471,K117183,husstand
K108085,K135943,medlaantaker
K106214,K130977,husstand
K116260,K131367,husstand
K125470,K118543,husstand
K131238,K139091,husstand
K111179,K113767,husstand
K100586,K117853,husstand
K100636,K105284,husstand
K120395,K118358,husstand
K121449,K114201,husstand
K118770,K139250,husstand
K124510,K138060,husstand
K123798,K103150,husstand
K126168,K121294,husstand
K135361,K127940,husstand
K129307,K101825,husstand
K126317,K125176,husstand
K113943,K106073,medlaantaker
K126872,K103032,husstand
K139052,K109804,medlaantaker
K101988,K128214,husstand
K123208,K131902,husstand
K138027,K100637,husstand
K114106,K100097,husstand
K106405,K100378,husstand
K139003,K127727,medlaantaker
K110572,K109305,husstand
K124161,K117593,medlaantaker
K129170,K100530,husstand
K126768,K118082,husstand
K128139,K131821,husstand
K114766,K114107,husstand
K106454,K128511,husstand
K119045,K125237,medlaantaker
K108261,K112171,husstand
K118724,K110159,husstand
K120135,K114229,husstand
K130564,K121060,medlaantaker
K111088,K106802,husstand
K102124,K100750,husstand
K105655,K125721,husstand
K108292,K100894,medlaantaker
K123673,K127533,medlaantaker
K124653,K137315,husstand
K120856,K116899,husstand
K120029,K119170,husstand
K108456,K106199,husstand
K128964,K111122,husstand
K110136,K109500,husstand
K130788,K105358,husstand
K100883,K107202,medlaantaker
K129141,K122742,husstand
K135564,K102924,husstand
K110068,K124869,medlaantaker
K109405,K116200,husstand
K134188,K117493,husstand
K109353,K119535,medlaantaker
K132194,K108812,husstand
K125619,K105424,medlaantaker
K118542,K111517,medlaantaker
K137613,K110347,husstand
K105169,K129306,husstand
K137574,K135349,husstand
K125469,K110461,husstand
K105026,K115204,medlaantaker
K124034,K123567,medlaantaker
K133738,K104901,husstand
K128794,K128422,husstand
K121789,K112174,husstand
K123423,K115771,husstand
K116379,K134050,husstand
K131017,K100649,husstand
K111100,K128238,husstand
K106323,K131868,husstand
K114732,K101303,husstand
K105510,K113389,husstand
K107373,K124101,husstand
K126978,K111361,husstand
K122313,K128497,husstand
K103036,K137128,medlaantaker
K120168,K105415,husstand
K106060,K109815,husstand
K107047,K113145,medlaantaker
K134218,K102461,husstand
K108132,K114910,medlaantaker
K137916,K116825,husstand
K101810,K102931,husstand
K132182,K133962,medlaantaker
K101968,K130278,medlaantaker
K124315,K115144,husstand
K131563,K118191,husstand
K131160,K123358,husstand
K120255,K137518,medlaantaker
K102562,K111020,husstand
K126797,K129713,husstand
K116346,K128604,husstand
K135409,K122282,husstand
K112396,K106784,medlaantaker
K106173,K112525,husstand
K116763,K117915,husstand
K126586,K121183,husstand
K125604,K132906,husstand
K131388,K100514,husstand
K129506,K127271,husstand
K124926,K120729,husstand
K105271,K115738,husstand
K114235,K108014,husstand
K113616,K138519,husstand
K137865,K127876,husstand
K135067,K117769,husstand
K113507,K121975,medlaantaker
K121678,K111413,medlaantaker
K119337,K123480,husstand
K131070,K136823,medlaantaker
K102234,K135116,husstand
K112193,K108430,husstand
K102093,K130046,husstand
K135105,K128639,medlaantaker
K122855,K138066,husstand
K116105,K126249,husstand
K131776,K112227,husstand
K118740,K128615,husstand
K129191,K127128,husstand
K100657,K115652,husstand
K121014,K103851,husstand
K128770,K139179,husstand
K133676,K124714,husstand
K132614,K106630,husstand
K105969,K117362,husstand
K134841,K110962,husstand
K121985,K123264,husstand
K133463,K111022,husstand
K102750,K113031,medlaantaker
K107657,K126208,husstand
K131408,K122239,husstand
K138032,K139406,husstand
K111205,K122962,husstand
K101185,K105248,husstand
K112646,K138629,husstand
K115363,K103844,husstand
K115301,K139072,husstand
K103164,K111041,husstand
K113546,K138534,medlaantaker
K130542,K110439,husstand
K118692,K112206,medlaantaker
K106425,K111561,husstand
K130214,K114443,husstand
K121655,K100370,husstand
K105860,K120505,husstand
K110189,K119281,husstand
K130333,K106530,husstand
K121266,K106547,husstand
K126297,K102482,husstand
K130094,K107411,husstand
K124543,K134313,husstand
K121115,K110007,husstand
K120718,K107725,husstand
K103710,K124788,husstand
K122152,K114722,husstand
K106330,K125791,husstand
K136245,K108035,husstand
K135830,K110236,medlaantaker
K112180,K115007,husstand
K133822,K106119,husstand
K130207,K109794,husstand
K118652,K126387,husstand
K134246,K136919,husstand
K129996,K116380,medlaantaker
K108614,K114848,medlaantaker
K119213,K105628,husstand
K105579,K102846,husstand
K138485,K121601,medlaantaker
K126196,K127351,husstand
K139372,K133558,husstand
K134351,K105197,husstand
K129719,K112999,husstand
K125695,K107113,medlaantaker
K132605,K117445,husstand
K137789,K127102,husstand
K118752,K102390,husstand
K113207,K106911,husstand
K109127,K117832,husstand
K139759,K101998,husstand
K126708,K100182,husstand
K135536,K107035,husstand
K125376,K138024,husstand
K116536,K114574,medlaantaker
K134141,K115419,husstand
K132666,K119443,husstand
K100011,K126536,husstand
K125404,K115974,medlaantaker
K132590,K118782,husstand
K118310,K109842,husstand
K132665,K128208,medlaantaker
K130082,K125103,husstand
K107105,K110560,husstand
K120716,K114342,husstand
K135005,K101853,husstand
K133044,K102772,husstand
K119834,K108870,husstand
K111830,K115441,husstand
K123469,K129045,husstand
K115619,K121727,medlaantaker
K124580,K106647,husstand
K109144,K129262,husstand
