kunde_id;alder;fylke;kundeforhold_aar;antall_produkter;antall_produkter_naa;har_kundeprogram;laanebalanse;rente_boliglaan;innskudd;raadgiversamtaler_12mnd;avslutningsgebyr;avgang_6mnd
K105641;18,0;Rogaland;4,3;2;2;nei;0,0;;84400,0;1;;0
K111196;45,0;Agder;13,5;4;4;nei;1040000,0;5,24;190000,0;1;;0
K107319;42,0;Telemark;3,2;3;2;Nei;2473000,0;5,29;255000,0;0;;0
K136118;31,0;Rogaland;7,2;5;5;0;2058000,0;5,07;44400,0;0;;0
K111414;;Oslo;15,1;5;5;ja;1946000,0;5,63;40500,0;0;;0
K139271;73,0;Rogaland;0,2;2;2;Ja;1474000,0;5,74;150400,0;0;;0
K108247;28,0;Rogaland;5,0;4;5;1;0,0;;370800,0;0;;0
K111689;55,0;Vestfold;10,7;3;3;Ja;0,0;;303100,0;0;;0
K114439;20,0;Rogaland;6,9;1;1;Ja;3573000,0;5,8;51900,0;0;;0
K112495;49,0;Vestfold;4,2;1;1;1;2096000,0;5,51;330400,0;0;;0
K123027;45,0;Rogaland;10,5;1;1;0;902000,0;5,22;74400,0;0;;0
K110250;34,0;Rogaland;3,5;1;1;JA;0,0;;484800,0;0;;0
K129871;46,0;Vestland;7,8;1;1;ja;2864000,0;5,26;70600,0;1;;0
K122937;67,0;Vestfold;3,1;1;1;ja;3065000,0;4,99;104000,0;0;;0
K132924;56,0;Telemark;3,4;3;2;nei;0,0;;84000,0;0;;0
K129686;41,0;Rogaland;0,6;3;3;0;0,0;;25100,0;0;;0
K103029;50,0;Rogaland;11,1;1;1;Nei;1468000,0;5,59;92200,0;0;;0
K135403;35,0;Vestland;36,5;3;3;0;2087000,0;5,56;352400,0;0;;0
K100268;47,0;Rogaland;5,5;4;4;ja;0,0;;60400,0;0;;0
K136673;40,0;Vestfold;2,1;3;3;0;0,0;;9400,0;1;;0
K118644;33,0;Rogaland;6,2;2;1;Nei;3764000,0;5,07;161300,0;1;;0
K118451;63,0;Rogaland;13,8;1;1;nei;0,0;;25900,0;0;;0
K137631;18,0;Agder;1,5;6;6;1;1469000,0;5,44;29200,0;0;;0
K104538;;Vestfold;30,4;2;2;Nei;1330000,0;5,63;227100,0;0;;0
K128421;43,0;Rogaland;2,7;4;4;ja;0,0;;50300,0;2;;0
K119969;22,0;Oslo;0,7;2;2;0;0,0;;51300,0;0;;0
K110434;18,0;Vestfold;1,3;6;6;ja;1418000,0;5,55;25700,0;0;;0
K116952;53,0;Rogaland;15,8;2;3;JA;1578000,0;5,19;108700,0;1;;0
K108298;38,0;Vestland;15,0;2;2;Nei;3227000,0;5,45;129600,0;1;;0
K115955;28,0;Rogaland;3,9;3;2;1;0,0;;233400,0;0;868,0;1
K121622;69,0;Vestland;6,4;8;8;0;0,0;;59000,0;0;;0
K133910;48,0;Rogaland;8,8;3;3;Ja;0,0;;55100,0;1;;0
K125102;39,0;Vestland;21,1;4;4;1;0,0;;39900,0;1;;0
K102708;51,0;Oslo;1,5;3;4;Ja;2591000,0;5,16;284100,0;0;;0
K106738;36,0;Vestfold;7,9;4;4;JA;2043000,0;5,46;90700,0;0;;0
K106965;51,0;Vestland;11,4;2;2;Nei;0,0;;75500,0;0;;0
K131013;67,0;Vestfold;0,9;8;8;1;1474000,0;5,19;194300,0;0;;0
K137047;66,0;Vestfold;2,5;2;2;Nei;2135000,0;6,34;57100,0;1;;0
K128106;44,0;Vestfold;0,9;2;2;Ja;1253000,0;5,01;160900,0;1;;0
K134003;18,0;Oslo;1,3;2;2;Ja;0,0;;376600,0;1;;0
K119617;41,0;Vestfold;4,9;6;6;JA;0,0;;95800,0;0;;0
K130279;44,0;Vestfold;40,0;4;4;ja;3767000,0;5,16;45300,0;0;;0
K127721;23,0;Rogaland;2,3;5;5;nei;2552000,0;5,47;55600,0;0;;0
K131800;33,0;Telemark;9,8;6;5;Ja;3901000,0;5,48;21200,0;0;;0
K120702;37,0;Rogaland;0,9;3;3;0;4638000,0;5,33;55600,0;0;;0
K102017;35,0;Rogaland;0,2;1;1;JA;0,0;;34800,0;0;;0
K103136;66,0;Vestland;0,2;3;2;JA;2106000,0;4,94;184800,0;0;1365,0;1
K135620;54,0;Agder;1,3;3;3;Ja;1979000,0;5,44;17400,0;0;;0
K124528;41,0;Telemark;7,1;2;3;nei;1944000,0;5,25;128100,0;1;;0
K138476;52,0;Vestland;3,7;3;3;0;2464000,0;5,65;1073000,0;0;;0
K118465;64,0;Vestland;5,7;3;3;Nei;0,0;;44500,0;1;;0
K109085;52,0;Rogaland;7,6;6;6;0;2911000,0;5,74;43800,0;1;;0
K115646;56,0;Vestfold;8,6;3;3;Nei;0,0;;884600,0;0;;0
K135460;53,0;Agder;22,7;2;3;1;3145000,0;6,13;40700,0;1;;0
K121389;18,0;Agder;3,4;7;7;JA;1557000,0;5,24;782200,0;0;;0
K129486;61,0;Rogaland;1,4;4;4;Ja;1178000,0;6,01;129800,0;1;;0
K130515;39,0;Vestland;1,1;3;2;Ja;3894000,0;5,42;1482900,0;0;;0
K109638;28,0;Vestfold;6,9;3;3;nei;3180000,0;5,08;92800,0;0;;0
K121593;38,0;Agder;1,3;1;1;1;1030000,0;5,28;175400,0;1;;0
K111268;18,0;Telemark;2,0;2;2;JA;1779000,0;5,15;81200,0;1;;0
K102722;18,0;Agder;15,9;3;3;ja;2343000,0;5,18;93100,0;1;;0
K115465;27,0;Vestfold;4,3;2;2;ja;0,0;;513100,0;0;;0
K114953;37,0;Rogaland;1,7;4;4;1;0,0;;128500,0;1;;0
K118290;67,0;Rogaland;22,0;3;3;1;2326000,0;5,29;222200,0;0;;0
K117310;58,0;Rogaland;21,3;5;5;ja;2652000,0;4,84;55600,0;0;;0
K138423;46,0;Rogaland;2,4;1;1;Nei;0,0;;6600,0;0;;0
K133839;50,0;Vestland;4,8;3;3;ja;2274000,0;5,63;54600,0;0;;0
K112522;28,0;Agder;4,4;2;0;Nei;0,0;;40900,0;0;1127,0;1
K122959;45,0;Vestfold;23,0;1;1;Nei;2142000,0;5,16;231100,0;0;;0
K113481;55,0;Agder;3,4;3;3;Nei;1187000,0;5,51;1488300,0;1;;0
K114736;;Agder;15,0;2;2;ja;1919000,0;5,37;153100,0;0;;0
K120345;39,0;Rogaland;4,7;5;5;1;4780000,0;5,67;30300,0;1;;0
K124483;47,0;Agder;14,2;3;4;nei;0,0;;71300,0;0;;0
K137758;44,0;Vestfold;25,3;1;1;0;0,0;;61300,0;0;;0
K130227;77,0;Rogaland;4,5;3;2;nei;0,0;;190300,0;0;875,0;1
K120076;49,0;Rogaland;27,4;4;3;ja;4095000,0;5,54;184100,0;2;;0
K106124;41,0;Oslo;1,2;4;4;JA;0,0;;99800,0;0;;0
K125194;22,0;Rogaland;3,9;2;2;JA;882000,0;5,37;84900,0;2;;0
K132249;43,0;Agder;0,2;2;2;JA;0,0;;45000,0;0;;0
K121484;66,0;Rogaland;3,2;2;1;nei;3809000,0;5,49;105100,0;0;977,0;1
K106195;44,0;Agder;5,2;4;4;Ja;2380000,0;5,93;186300,0;0;;0
K119232;52,0;Agder;5,1;2;2;0;1594000,0;5,67;565900,0;0;;0
K103293;55,0;Rogaland;0,9;2;2;ja;1170000,0;5,5;253600,0;0;;0
K111225;51,0;Vestfold;20,8;3;3;Nei;1271000,0;5,54;41900,0;0;;0
K128402;33,0;Oslo;2,2;3;3;ja;0,0;;103800,0;0;;0
K118410;55,0;Rogaland;14,0;4;4;Nei;0,0;;693900,0;0;1337,0;1
K120678;48,0;Rogaland;22,4;5;5;Ja;0,0;;230700,0;1;;0
K124684;36,0;Oslo;1,3;3;3;Ja;1250000,0;5,38;507000,0;0;;0
K110880;38,0;Rogaland;6,3;3;3;Nei;1673000,0;5,54;322400,0;0;;0
K118525;;Vestfold;24,1;3;3;nei;0,0;;174700,0;0;;0
K109184;34,0;Vestland;11,8;1;1;ja;0,0;;76600,0;1;;0
K105243;59,0;Vestfold;5,9;4;4;1;0,0;;211200,0;2;;0
K109357;26,0;Vestfold;3,1;1;1;JA;2015000,0;5,79;166900,0;1;;0
K106375;48,0;Rogaland;8,3;4;4;1;1756000,0;5,14;294700,0;0;;0
K127164;58,0;Vestfold;16,1;1;1;1;2841000,0;5,24;128100,0;1;;0
K112458;45,0;Rogaland;0,3;2;2;nei;1429000,0;5,44;18500,0;0;;0
K137839;18,0;Agder;2,6;5;5;Nei;2395000,0;5,82;798500,0;0;;0
K120875;60,0;Rogaland;0,6;2;2;Nei;3194000,0;5,37;909800,0;0;;0
K107172;41,0;Agder;12,9;4;4;Ja;5002000,0;5,66;141200,0;1;;0
K126722;84,0;Rogaland;1,9;1;0;0;1221000,0;5,46;659100,0;1;992,0;1
K138274;47,0;Vestland;1,3;4;4;Nei;0,0;;153200,0;1;;0
K123616;52,0;Rogaland;0,4;3;3;1;0,0;;78800,0;1;;0
K124491;31,0;Rogaland;8,0;3;3;1;0,0;;60100,0;0;;0
K114192;62,0;Rogaland;5,9;2;3;0;3398000,0;5,87;99500,0;0;;0
K108738;37,0;Agder;0,9;2;2;Ja;1755000,0;5,11;167300,0;0;;0
K104502;25,0;Rogaland;6,7;3;3;0;2708000,0;5,41;318900,0;1;;0
K130554;31,0;Vestfold;1,6;2;2;Ja;431000,0;4,37;320100,0;0;;0
K139321;67,0;Vestfold;4,7;4;4;0;0,0;;75200,0;0;;0
K131291;44,0;Agder;7,9;1;1;nei;1564000,0;5,96;21400,0;0;1196,0;1
K100067;39,0;Rogaland;6,6;5;4;nei;0,0;;174700,0;0;870,0;1
K131941;51,0;Agder;15,4;2;2;Nei;1422000,0;5,29;179700,0;0;;0
K119957;56,0;Telemark;0,2;4;4;Nei;3014000,0;5,33;40800,0;0;;0
K137128;39,0;Agder;12,2;5;5;Nei;4556000,0;5,86;182400,0;0;;0
K127393;71,0;Vestfold;5,3;3;3;0;0,0;;69600,0;1;;0
K110909;18,0;Agder;8,9;4;4;Ja;0,0;;240200,0;1;;0
K108730;57,0;Rogaland;9,6;2;2;1;0,0;;38200,0;0;;0
K117834;47,0;Agder;6,5;3;3;JA;0,0;;523600,0;0;;0
K105983;57,0;Rogaland;12,6;4;4;1;1246000,0;5,76;36900,0;0;;0
K127856;;Telemark;16,1;2;2;nei;0,0;;33700,0;1;;0
K107091;19,0;Vestfold;7,9;4;4;1;2338000,0;5,37;71200,0;1;;0
K109427;46,0;Telemark;4,0;5;5;JA;1065000,0;5,87;267400,0;0;;0
K133742;47,0;Rogaland;11,7;2;2;1;1272000,0;5,31;283000,0;1;;0
K135991;79,0;Agder;0,6;2;2;nei;3084000,0;5,49;172500,0;1;;0
K122236;44,0;Rogaland;14,4;2;1;Ja;0,0;;28500,0;0;;0
K130827;29,0;Rogaland;4,9;3;2;Ja;2511000,0;5,51;508900,0;1;1128,0;1
K129423;59,0;Vestfold;14,7;3;3;JA;0,0;;156400,0;0;;0
K117798;35,0;Vestland;1,2;3;3;JA;919000,0;5,31;244600,0;0;;0
K129763;59,0;Rogaland;21,5;5;4;0;0,0;;66700,0;0;;0
K103214;62,0;Rogaland;22,0;3;3;ja;0,0;;24200,0;0;;0
K123858;68,0;Rogaland;4,0;1;1;nei;0,0;;100500,0;1;;0
K119360;58,0;Rogaland;3,5;3;3;nei;0,0;;26100,0;1;;0
K103502;56,0;Telemark;2,5;1;1;0;432000,0;5,42;53600,0;0;;0
K122016;57,0;Telemark;3,5;3;3;nei;908000,0;5,45;32100,0;0;;0
K118127;29,0;Oslo;2,1;4;4;nei;2130000,0;5,8;89300,0;0;;0
K132681;62,0;Vestfold;0,8;6;6;Nei;0,0;;12400,0;0;;0
K127808;51,0;Rogaland;2,2;3;3;ja;3145000,0;5,19;141700,0;2;;0
K139843;26,0;Telemark;8,2;3;3;Nei;1827000,0;5,42;45100,0;1;;0
K138901;71,0;Oslo;1,6;3;3;JA;3473000,0;5,66;33300,0;0;;0
K136154;44,0;Vestfold;7,1;3;3;0;1971000,0;5,88;34100,0;1;;0
K119780;57,0;Vestfold;1,7;3;3;Ja;1315000,0;5,13;40100,0;0;;0
K107787;56,0;Agder;2,0;4;4;0;1377000,0;5,97;185100,0;0;;0
K131051;;Agder;8,5;2;2;nei;0,0;;121800,0;0;;0
K108988;30,0;Oslo;4,6;5;5;nei;1470000,0;5,53;33000,0;0;;0
K131473;23,0;Rogaland;1,1;4;4;ja;0,0;;35200,0;1;;0
K109170;29,0;Oslo;32,4;4;4;nei;3049000,0;5,27;230900,0;0;;0
K119875;49,0;Agder;5,3;3;4;1;2575000,0;5,78;170300,0;0;;0
K104201;18,0;Rogaland;0,2;7;7;JA;3501000,0;5,01;57900,0;0;;0
K105290;54,0;Telemark;12,2;1;1;0;0,0;;92000,0;0;1270,0;1
K116321;50,0;Agder;40,0;2;2;nei;2833000,0;5,52;72000,0;1;;0
K134395;29,0;Vestland;2,9;2;2;0;5079000,0;5,24;30900,0;0;;0
K120269;75,0;Vestland;1,6;2;2;Nei;1371000,0;5,78;918200,0;0;;0
K107391;44,0;Oslo;3,3;4;4;JA;0,0;;282800,0;1;;0
K118476;60,0;Oslo;6,8;7;8;Ja;0,0;;733700,0;0;;0
K128430;31,0;Rogaland;10,1;4;4;Nei;1228000,0;6,2;326700,0;3;;0
K104775;57,0;Rogaland;1,5;1;1;ja;1700000,0;5,33;234500,0;1;;0
K108333;72,0;Telemark;5,5;1;1;nei;2459000,0;5,41;72600,0;0;;0
K139077;18,0;Rogaland;6,8;3;3;Nei;4152000,0;5,76;32000,0;2;;0
K130457;18,0;Agder;25,3;1;1;0;991000,0;5,59;102000,0;0;1353,0;1
K115652;61,0;Rogaland;13,0;4;4;Nei;704000,0;5,22;70200,0;0;;0
K103128;34,0;Vestland;1,9;9;9;Nei;2290000,0;4,93;49200,0;0;;0
K102388;64,0;Oslo;3,6;5;5;ja;3142000,0;5,26;164100,0;0;;0
K131093;52,0;Vestfold;30,1;4;4;Ja;0,0;;72600,0;0;;0
K111696;57,0;Rogaland;27,5;4;4;JA;3685000,0;5,54;113100,0;0;;0
K124576;48,0;Vestland;3,2;3;3;Nei;0,0;;71000,0;0;;0
K122408;75,0;Agder;5,1;3;4;1;4298000,0;5,83;438400,0;0;;0
K123829;72,0;Rogaland;7,5;4;4;JA;4316000,0;5,14;171800,0;0;;0
K134984;43,0;Vestfold;0,4;5;5;nei;0,0;;68700,0;0;;0
K137349;42,0;Telemark;4,4;4;4;ja;2306000,0;5,06;58400,0;0;;0
K131349;37,0;Vestfold;25,1;3;3;nei;1691000,0;5,65;13900,0;0;;0
K121604;25,0;Vestfold;3,6;5;5;JA;1765000,0;5,45;43800,0;0;;0
K137378;59,0;Telemark;5,1;4;4;nei;2769000,0;5,76;28900,0;0;;0
K106964;69,0;Rogaland;2,3;1;1;Ja;0,0;;81100,0;2;;0
K113555;39,0;Vestfold;5,2;9;9;Ja;2304000,0;5,26;6700,0;0;;0
K113710;25,0;Agder;1,4;4;4;ja;0,0;;98600,0;0;;0
K122604;60,0;Telemark;10,5;3;4;nei;0,0;;83800,0;1;;0
K112594;43,0;Agder;3,9;4;4;1;0,0;;160900,0;1;;0
K104318;31,0;Vestland;25,2;6;6;Ja;1885000,0;5,91;228800,0;1;;0
K130821;68,0;Vestland;10,9;2;0;JA;2007000,0;6,2;270000,0;0;1204,0;1
K134008;62,0;Rogaland;3,0;2;2;1;3692000,0;5,79;154500,0;0;;0
K130935;29,0;Telemark;4,9;2;1;Ja;3671000,0;5,86;86600,0;0;;0
K129928;63,0;Rogaland;21,3;3;3;ja;2173000,0;5,74;674600,0;0;;0
K122939;44,0;Agder;7,5;4;4;nei;0,0;;3400,0;0;1179,0;1
K116985;49,0;Agder;31,7;6;6;1;1636000,0;6,27;67100,0;0;;0
K117380;24,0;Rogaland;1,3;1;1;0;1867000,0;5,42;114400,0;0;;0
K109566;18,0;Oslo;1,3;3;2;Ja;0,0;;57100,0;0;788,0;1
K124082;32,0;Vestfold;2,8;4;4;nei;0,0;;32000,0;0;;0
K103883;66,0;Rogaland;1,9;3;1;nei;0,0;;377200,0;0;1557,0;1
K120361;21,0;Rogaland;1,2;4;4;Nei;0,0;;3300,0;0;;0
K110344;43,0;Vestfold;16,0;4;4;ja;1900000,0;6,1;39200,0;1;;0
K114639;69,0;Rogaland;6,4;2;2;1;1358000,0;5,68;78000,0;0;;0
K125649;44,0;Oslo;2,8;5;5;nei;2521000,0;5,29;425200,0;0;;0
K139424;46,0;Vestfold;1,8;2;2;Nei;0,0;;7700,0;0;;0
K104574;63,0;Rogaland;3,2;5;5;ja;0,0;;133400,0;0;;0
K139438;50,0;Rogaland;11,2;2;3;Nei;0,0;;16700,0;0;;0
K128799;18,0;Vestfold;7,8;4;4;ja;0,0;;323300,0;0;;0
K125054;28,0;Agder;3,0;2;2;Nei;0,0;;40100,0;0;;0
K115280;36,0;Telemark;1,8;4;4;Ja;0,0;;153900,0;1;;0
K105202;31,0;Agder;5,1;2;2;JA;2709000,0;5,37;375300,0;0;;0
K128583;51,0;Agder;1,9;2;2;0;974000,0;5,16;67500,0;1;;0
K100402;59,0;Rogaland;4,9;4;4;ja;4620000,0;5,58;26300,0;0;;0
K103243;50,0;Agder;14,3;3;3;Nei;0,0;;194700,0;1;;0
K120098;57,0;Agder;21,2;6;6;0;1663000,0;6,0;58400,0;0;;0
K129359;64,0;Oslo;0,7;2;2;nei;1315000,0;5,29;137700,0;0;;0
K108226;55,0;Rogaland;7,2;1;2;1;0,0;;69000,0;0;;0
K103339;20,0;Oslo;6,8;3;1;ja;1319000,0;5,84;206800,0;0;1015,0;1
K122827;43,0;Vestland;5,1;4;4;Nei;498000,0;5,88;144300,0;0;;0
K119108;47,0;Oslo;1,0;4;4;ja;0,0;;108700,0;1;;0
K114110;69,0;Vestfold;4,1;5;5;Nei;1274000,0;5,72;15100,0;0;;0
K139565;46,0;Vestfold;4,2;3;3;0;1995000,0;5,25;162100,0;0;;0
K118697;26,0;Rogaland;2,7;6;6;Ja;0,0;;307800,0;1;;0
K123080;54,0;Vestfold;15,5;5;5;JA;2355000,0;5,8;145100,0;1;;0
K102451;40,0;Rogaland;39,9;3;3;Ja;5140000,0;5,46;435200,0;0;;0
K105617;44,0;Rogaland;1,4;4;4;Ja;3931000,0;5,91;23300,0;0;;0
K136639;43,0;Vestland;14,3;5;5;1;1174000,0;5,67;37700,0;0;;0
K128299;57,0;Rogaland;6,6;5;5;0;2775000,0;5,85;18500,0;0;;0
K134001;59,0;Agder;0,5;3;3;0;2015000,0;4,56;88100,0;0;;0
K107464;48,0;Rogaland;4,9;5;4;nei;5516000,0;5,42;622600,0;0;;0
K113950;65,0;Rogaland;1,4;3;1;0;1096000,0;5,58;27000,0;0;749,0;1
K139741;25,0;Rogaland;16,8;6;6;Ja;1804000,0;5,62;431400,0;1;;0
K132376;35,0;Agder;4,3;3;3;nei;2546000,0;5,15;155900,0;0;;0
K124415;45,0;Vestfold;18,3;4;4;Ja;2244000,0;5,01;85500,0;0;;0
K128704;40,0;Vestland;10,8;2;3;Nei;0,0;;144100,0;1;;0
K124349;63,0;Vestland;0,2;4;4;ja;1189000,0;5,85;21000,0;1;;0
K116694;25,0;Rogaland;1,6;4;4;JA;5376000,0;5,51;15800,0;0;;0
K125443;42,0;Telemark;11,3;8;8;1;3425000,0;5,16;31400,0;0;;0
K124216;18,0;Rogaland;15,5;2;0;Nei;3433000,0;4,57;298100,0;0;849,0;1
K134810;49,0;Agder;10,9;3;3;Nei;1654000,0;5,18;154000,0;0;;0
K105023;29,0;Agder;14,8;5;5;ja;2512000,0;5,12;74900,0;0;;0
K133100;49,0;Agder;1,9;2;1;0;0,0;;235600,0;1;1266,0;1
K106379;45,0;Rogaland;11,2;3;3;Nei;3590000,0;5,68;126900,0;0;;0
K120982;68,0;Telemark;3,2;3;2;1;0,0;;132600,0;0;;0
K131488;51,0;Rogaland;3,2;3;3;nei;1807000,0;5,58;22400,0;0;;0
K112802;35,0;Vestfold;14,9;1;0;1;0,0;;23700,0;0;1177,0;1
K101985;41,0;Agder;21,4;1;0;0;0,0;;318100,0;0;1148,0;1
K109467;24,0;Agder;10,8;3;2;Ja;0,0;;64700,0;0;;0
K134817;29,0;Agder;9,9;2;2;JA;1142000,0;5,76;92700,0;0;;0
K118280;25,0;Agder;2,1;3;3;Nei;2230000,0;5,33;218900,0;0;;0
K106258;28,0;Rogaland;6,2;2;2;Ja;961000,0;5,48;29800,0;1;;0
K138566;55,0;Vestfold;11,1;1;2;JA;2193000,0;6,08;41500,0;0;;0
K100604;;Rogaland;1,2;1;2;0;0,0;;18100,0;0;;0
K139370;55,0;Rogaland;9,9;2;2;Nei;721000,0;5,27;279600,0;0;;0
K119224;30,0;Rogaland;7,5;2;2;ja;2893000,0;5,55;173000,0;1;;0
K109224;42,0;Rogaland;0,3;4;4;nei;0,0;;295600,0;1;;0
K111292;27,0;Telemark;3,3;4;1;JA;0,0;;26300,0;0;1127,0;1
K138925;51,0;Agder;19,8;4;4;Ja;1431000,0;5,83;22300,0;0;;0
K115994;18,0;Telemark;5,0;5;5;1;0,0;;120200,0;1;;0
K136851;43,0;Rogaland;19,8;5;5;nei;2676000,0;5,34;15200,0;0;;0
K106984;29,0;Rogaland;2,9;4;4;Nei;4124000,0;6,29;58700,0;0;;0
K116702;39,0;Vestfold;2,6;5;5;Ja;0,0;;137400,0;0;;0
K134865;35,0;Vestland;3,7;6;6;0;2086000,0;5,67;108800,0;0;;0
K129236;68,0;Rogaland;5,3;2;2;Ja;0,0;;221600,0;0;;0
K124319;53,0;Rogaland;5,0;3;3;Ja;0,0;;166800,0;0;;0
K129805;40,0;Agder;6,1;3;3;1;1618000,0;5,67;217900,0;1;;0
K131069;48,0;Agder;7,2;3;3;ja;1594000,0;5,54;51100,0;2;;0
K119309;48,0;Vestfold;8,3;4;3;JA;1706000,0;5,07;282800,0;0;;0
K103170;63,0;Agder;9,6;3;3;JA;3422000,0;5,86;64100,0;0;;0
K117766;18,0;Agder;6,6;6;6;0;0,0;;123300,0;0;;0
K120464;64,0;Vestland;14,7;2;2;1;3572000,0;5,22;66200,0;0;;0
K123523;29,0;Oslo;28,5;4;4;Nei;893000,0;5,16;31300,0;0;;0
K128166;21,0;Agder;2,8;4;4;ja;0,0;;83400,0;0;;0
K121534;69,0;Agder;6,1;2;2;1;0,0;;191700,0;0;;0
K101588;30,0;Oslo;0,4;4;4;1;0,0;;184500,0;0;;0
K123280;42,0;Rogaland;9,6;2;0;ja;3969000,0;5,3;1102000,0;1;1111,0;1
K132418;68,0;Oslo;1,3;5;4;0;1997000,0;4,88;89600,0;0;;0
K104280;69,0;Agder;5,5;2;2;Ja;0,0;;74200,0;0;;0
K133474;49,0;Rogaland;0,7;2;2;Ja;0,0;;162800,0;1;;0
K126800;18,0;Agder;33,8;5;4;0;2122000,0;5,52;27400,0;0;886,0;1
K108105;18,0;Rogaland;11,3;4;3;ja;3974000,0;4,8;1575800,0;1;;0
K101651;66,0;Telemark;10,7;4;4;1;0,0;;48900,0;0;;0
K105793;;Telemark;2,9;5;5;1;2316000,0;5,64;383100,0;0;;0
K114352;59,0;Agder;6,8;3;3;0;1945000,0;5,83;71300,0;1;;0
K133508;35,0;Rogaland;6,4;2;3;ja;2025000,0;5,26;78400,0;0;;0
K126824;63,0;Vestfold;4,9;4;5;nei;0,0;;174800,0;0;;0
K137509;24,0;Rogaland;1,2;6;6;JA;0,0;;19300,0;1;;0
K128535;45,0;Agder;1,6;5;5;JA;0,0;;99700,0;0;;0
K120061;29,0;Rogaland;16,7;2;2;nei;0,0;;313400,0;0;;0
K125226;55,0;Telemark;6,5;4;4;Ja;969000,0;5,6;30100,0;0;;0
K132405;47,0;Oslo;4,1;3;3;0;0,0;;23200,0;0;;0
K101635;63,0;Telemark;10,3;3;3;1;1949000,0;5,45;116000,0;1;;0
K109479;58,0;Vestfold;6,5;9;8;Ja;0,0;;167700,0;1;;0
K138994;36,0;Vestland;9,6;1;1;Nei;889000,0;5,56;212600,0;1;;0
K102310;59,0;Agder;1,8;3;3;Nei;0,0;;30700,0;0;;0
K104550;62,0;Vestland;20,4;3;3;1;0,0;;27200,0;2;;0
K108326;42,0;Vestfold;30,3;4;4;Ja;3044000,0;5,25;179200,0;0;;0
K112324;55,0;Vestfold;1,9;1;1;JA;0,0;;29300,0;0;;0
K112852;48,0;Telemark;2,5;4;4;ja;3628000,0;5,28;215500,0;1;;0
K114466;41,0;Rogaland;1,0;5;5;ja;0,0;;52000,0;0;;0
K130135;64,0;Rogaland;0,2;3;3;1;0,0;;297600,0;0;;0
K113696;46,0;Vestfold;6,0;5;5;0;2294000,0;5,4;300100,0;1;;0
K127353;60,0;Agder;10,4;2;2;0;2240000,0;6,0;48700,0;0;;0
K116546;76,0;Telemark;8,6;2;2;0;0,0;;125600,0;0;;0
K134503;27,0;Agder;8,9;3;4;nei;2073000,0;5,23;88300,0;0;;0
K130360;53,0;Vestland;2,0;1;1;Nei;0,0;;73400,0;1;;0
K131266;40,0;Vestland;13,4;2;2;Nei;0,0;;11300,0;0;1329,0;1
K121667;51,0;Telemark;4,4;2;2;Nei;1693000,0;5,4;70000,0;0;;0
K126577;50,0;Telemark;11,2;2;2;ja;1415000,0;5,92;71200,0;1;;0
K130591;38,0;Agder;2,2;5;5;1;0,0;;1204400,0;0;;0
K108925;57,0;Oslo;11,4;4;4;Nei;0,0;;43300,0;1;;0
K125772;58,0;Oslo;11,1;4;4;0;1302000,0;5,79;132000,0;0;;0
K129944;49,0;Rogaland;4,7;4;4;JA;0,0;;18800,0;1;;0
K119675;67,0;Rogaland;5,0;3;3;1;1874000,0;4,83;38600,0;0;;0
K114087;39,0;Telemark;30,0;4;4;1;1069000,0;5,59;33400,0;1;;0
K129965;59,0;Vestfold;7,0;2;2;Nei;2616000,0;5,62;44900,0;0;;0
K132092;63,0;Vestland;7,0;4;3;Nei;0,0;;232400,0;0;;0
K120231;53,0;Rogaland;5,0;5;5;Nei;1690000,0;5,49;76700,0;0;;0
K131523;30,0;Rogaland;1,9;3;2;Ja;0,0;;67000,0;1;;0
K134609;37,0;Agder;2,3;5;5;nei;1629000,0;5,53;27400,0;0;;0
K137320;19,0;Rogaland;0,9;2;1;ja;2265000,0;6,26;79900,0;0;801,0;1
K129358;65,0;Vestfold;2,5;3;3;ja;0,0;;35900,0;0;;0
K123724;;Agder;0,2;1;1;Ja;2615000,0;5,77;385500,0;0;;0
K103455;32,0;Oslo;5,0;5;5;Ja;1770000,0;5,66;40200,0;0;;0
K110804;38,0;Rogaland;18,8;3;4;nei;0,0;;162600,0;0;;0
K129747;19,0;Telemark;5,0;2;2;JA;1508000,0;5,44;83300,0;2;;0
K136300;75,0;Rogaland;11,1;3;3;ja;0,0;;44700,0;0;;0
K111006;39,0;Vestfold;5,2;3;3;Ja;2121000,0;6,03;42000,0;0;;0
K109952;59,0;Oslo;3,4;3;3;Ja;0,0;;5800,0;0;;0
K110008;19,0;Vestfold;15,7;4;4;JA;0,0;;139900,0;0;;0
K100833;40,0;Rogaland;8,1;1;0;nei;0,0;;271400,0;0;1577,0;1
K108547;81,0;Rogaland;3,6;6;7;Nei;1317000,0;5,66;116100,0;2;;0
K122116;18,0;Agder;4,3;3;3;Nei;0,0;;7400,0;0;;0
K130622;49,0;Rogaland;2,4;1;1;ja;1931000,0;5,33;46100,0;1;;0
K138440;;Oslo;0,3;1;1;JA;3566000,0;5,73;47500,0;0;;0
K108812;53,0;Rogaland;4,6;3;3;Nei;2974000,0;5,36;63900,0;1;;0
K110635;34,0;Agder;9,0;1;1;1;1720000,0;5,68;46900,0;0;;0
K108623;;Vestland;0,3;3;3;nei;0,0;;242100,0;2;;0
K117004;43,0;Oslo;1,2;6;6;Ja;1745000,0;5,51;72800,0;2;;0
